FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Yogurt,6.97,42.93,46.1,2.69,2.3,2.23,6.76,3.84,282.71,235.47,162.07,228.05,53.93,5.98,0.51,0.19,577.44,16.2,0.04,0.25
Sobia,11.33,54.76,525.39,7.51,18.76,2.03,5.12,75.06,27.4,428.36,191.11,215.47,69.99,4.94,0.3,0.4,447.37,44.56,0.45,0.22
Grilled Fish,14.79,56.35,359.86,59.12,12.85,0.76,4.64,0,501.6,255.03,137.5,168.15,44.4,1.65,2.04,0.35,386.07,58.99,0.35,0.13
Boiled Egg,1.19,41.03,742.72,62.29,52.71,0.63,2.48,5.27,516.95,214.17,165.82,155.45,80.2,4.41,3.31,0.2,631.91,20.17,0.07,0.33
Vegetable Oil,11.33,51.68,3677.13,0,415.96,2.24,0.77,0,558.7,226.89,80.48,90.66,80.22,5.85,3.97,0.43,236.51,4.38,0.37,0.49
Roasted Chicken,2.98,67.88,441.41,52.55,23.12,0.7,0.15,0,90.46,305.82,195.63,235.62,19.18,5.47,4.25,0.35,476.15,1.15,0.33,0.23
Olive Oil,10.15,64.08,2054.26,0,232.38,1.17,4.04,0,158.41,165.53,135.04,198.72,117.51,5.87,0.21,0.42,319.42,36.12,0.44,0.02
Green Lentils Cooked,3.5,42.67,305.21,23.68,1.05,0.72,5.16,52.62,408.82,128.73,36.68,133.57,21.66,1.12,2.86,0.45,164.35,17.89,0.22,0.09
Bamia,1.19,48.25,319,15.01,11.26,1.88,7.18,37.53,255.23,223.28,154.68,117.62,52.42,4.47,2.15,0.03,238.02,1.42,0.48,0.27
Domiati Cheese,10.12,66.93,645.73,33.48,52.62,1.48,1.25,7.17,103.68,297.43,31.06,285.49,81.23,2.8,1.14,0.26,620.05,5.68,0.5,0.11
Sobia,5.19,61.66,402.87,5.76,14.39,0.75,4.58,57.55,233.26,335.57,198.52,204.47,61.5,3.07,2.86,0.4,167.83,49.46,0.11,0.11
Ful Medames,12.57,73.59,166.28,11.09,4.93,1.86,4.9,24.63,188.18,509.7,116.79,181.47,44.22,1.41,0.79,0.47,56.15,30.23,0.24,0.41
Atayef,10.01,47.5,293.39,5.5,11,0.64,3.24,36.67,169.6,385.94,100.4,261.05,26.45,3.2,0.91,0.06,492.8,40.72,0.32,0.22
Sahlab,1.16,73.54,555.51,11.11,18.52,0.79,3.19,92.58,563.17,474.5,139.5,188.22,111.63,2.1,4.85,0.42,745.36,12.92,0.17,0.5
Zucchini Stew,5.32,68.89,81.25,1.81,2.71,1.26,0.52,10.83,259.59,138.53,38.12,83.52,80.79,1.35,4.2,0.5,661.26,25.48,0.21,0.09
Kashkaval Cheese,7.42,44.44,422.14,30.15,33.77,1.19,4.15,2.41,553.39,120.05,143.92,266.52,113.62,4.04,1.06,0.25,555.93,21.03,0.14,0.19
Kaak,1.31,48.16,1985.08,28.36,103.98,1.49,6.58,141.79,178.35,128.36,32.73,76.37,101.31,3.7,1.68,0.29,387.42,44.27,0.14,0.2
Ful Medames with Oil,6.45,66.61,717.75,32.3,35.89,2.14,1.68,71.77,243.45,430.35,194.74,163.39,22.89,3.56,4.59,0.21,781.9,39.8,0.48,0.32
Boiled Egg,6.3,68.35,114.18,9.58,8.1,1.9,0.74,0.81,513.7,145.56,21.4,243.85,48.9,2.23,0.61,0.46,4.96,21.87,0.33,0.25
Vegetable Oil,7.45,70.72,2633.72,0,297.93,1.08,7.95,0,558.57,112.62,137.75,229.11,101.75,4.56,3.08,0.25,621.52,10.51,0.35,0.21
Grilled Chicken Breast,6.42,58.45,141.46,26.58,3.09,0.76,0.66,0,518.26,372.1,169.37,79.99,79.91,5.68,3.58,0.16,339.28,37.11,0.36,0.26
Chicken Liver,5.36,59.85,661.32,96.19,20.04,1.18,1.06,4.01,75.03,409.15,162.7,199.56,82.04,1.09,2.76,0.1,217.21,42.31,0.42,0.43
Chicken Thigh Stewed,0.92,67.56,436.12,54,22.84,1.32,4.01,0,92.03,531.67,182.99,139.33,101,0.56,2.33,0.18,716.18,25.22,0.47,0.15
Yogurt,3.41,46.23,135.09,7.88,6.75,0.95,0.75,11.26,220.44,596.54,12.51,68.26,114.86,5.59,2.11,0.15,75.95,51.29,0.16,0.16
Mango,0.65,66.17,65.8,0.88,0.44,1.6,0.29,16.45,125.36,293.67,45.68,82.32,83.8,1.24,3.2,0.36,63.69,51.97,0.26,0.13
Shorbet Adas,5.35,61.05,417.38,20.87,10.43,1.23,2.28,62.61,526.83,392.03,63.55,82.31,47.79,3.74,1.73,0.36,667.51,3.72,0.3,0.43
Kashkaval Cheese,5.34,55.25,1744.55,124.61,139.56,0.74,7.44,9.97,299.06,217.15,177.95,154.44,106.84,3.6,0.48,0.05,88.5,12.37,0.19,0.35
White Cheese,0.98,46.98,1241.1,45.51,103.42,1.45,6.93,12.41,86.65,322.82,97.47,84.96,38.74,5.41,0.51,0.29,46.39,6.07,0.1,0.18
White Cheese,12.08,51.03,656.86,24.08,54.74,1.25,1.16,6.57,93.97,357.07,81.77,124.72,10.69,4.07,1.94,0.42,659.23,49.32,0.26,0.1
Yogurt,3.58,69.91,98.1,5.72,4.91,2.24,4.82,8.18,476.31,481.43,178.63,74.89,70.77,3.91,1.9,0.3,487.47,52.82,0.46,0.28
Grilled Fish,5.34,44.38,277.97,45.67,9.93,2.06,0.24,0,186.24,410.68,64.55,212.2,98.95,2.17,2.98,0.21,576.46,5.53,0.1,0.4
Beef Liver,0.31,54.69,403.76,66.07,9.79,1.44,4.03,9.79,553.57,403.82,151.95,167.02,98.56,1.36,1.76,0.27,119.9,47.27,0.2,0.01
Bamia,10.66,41.2,298.51,14.05,10.54,1.14,0.3,35.12,107.27,167.95,168.54,85.85,115.6,3.43,2.53,0.42,9.8,24.52,0.23,0.29
Hawawshi,13.07,55.49,162.21,6.8,6.28,1.03,6.53,17.79,409.35,275.84,50.09,214.19,20.65,0.51,0.71,0.25,269.53,29.9,0.41,0.33
Bamia,14.03,47.36,258.07,12.14,9.11,0.69,7.4,30.36,380.25,446.36,68.75,169,13.96,5.71,0.52,0.1,336.77,42.4,0.31,0.22
Taameya Fried,1.16,62.83,551.1,22.39,31,1.38,2.92,44.78,488,351.64,171.23,146.81,74.04,5.34,3.51,0.12,784.74,41.55,0.07,0.47
Chicken Thigh Stewed,14.8,44.83,1033.27,127.93,54.12,1.4,6.95,0,269.24,302.55,68.76,251.91,65.13,1.31,1.31,0.16,90.89,55.33,0.11,0.14
Fried Fish,11.24,48.35,1048.11,95.28,66.7,2.17,3.67,0,189.86,537.79,156.94,267.88,104.62,4.19,2.52,0.46,470.44,44.09,0.28,0.01
Kaak,7.37,41.22,910.82,13.01,47.71,1.16,1.75,65.06,500.53,233.14,91.65,198.34,21.93,3.37,3.54,0.09,693.07,42.3,0.49,0.03
Black Eyed Peas,15,44.19,481.3,25.92,5.55,0.77,4.72,81.45,489.24,369.88,127.07,243.72,38.61,5.6,1.87,0.12,781.25,41.43,0.39,0.38
Molokhia with Chicken,8.87,54.65,403.25,19.1,14.86,0.9,3.55,50.94,426.71,516.03,181.99,239.74,16.33,4.92,3.37,0.34,559.44,5.03,0.49,0.31
Shorbat Freekeh,8.02,66.72,325.28,17.12,10.27,0.83,6.48,51.36,535.26,289.44,13.24,250.14,72.08,4.8,2.92,0.26,787.53,42.6,0.27,0.12
Beef Liver,0.51,65.93,517.93,84.75,12.56,0.82,5.19,12.56,412.83,394.64,75.19,57.1,55.39,0.72,1.67,0.14,784.44,46.92,0.35,0.24
Dates,3.31,65.37,1316.59,11.67,1.87,2.19,3.9,350.16,407.02,590.4,65.5,217.2,30.53,1.92,1.19,0.19,447.62,24.82,0.32,0.18
Lamb,5.81,47.51,866.17,73.65,61.87,2.02,0.58,0,359.78,492.68,162.45,298.4,40.46,0.62,4.73,0.33,296.19,42.87,0.25,0.1
Shorbat Freekeh,13.86,70.76,441.16,23.22,13.93,2.05,6.69,69.66,121.19,252.88,129.78,288.75,107.06,4.77,4.99,0.19,787.89,17.37,0.28,0.39
Chicken Liver,3.54,70.6,632.54,92.01,19.17,2.24,7.03,3.83,173.85,227.53,164.39,226.16,73.18,5.18,3.04,0.2,365.2,7.69,0.2,0.46
Tea with Sugar,11.32,79.97,90.66,0,0,2.5,4.76,22.67,179,129.86,177.7,128.88,86.6,2.58,0.81,0.34,125.21,36.46,0.03,0.42
Chickpeas Cooked,5.35,41.12,112.46,6.17,1.78,1,7.57,18.52,52.54,266.36,163.27,181.28,37.51,4.37,1.92,0.09,208,57.84,0.02,0.19
Kaak,10,57.64,1307.64,18.68,68.5,0.56,0.52,93.4,285.5,332.84,88.83,294.17,11.85,1.01,2.19,0.08,243.69,21.44,0.18,0.39
Atayef,9.64,65.88,1480.56,27.76,55.52,1.94,0.4,185.07,50.03,571.88,101.04,112.09,68.19,2.17,3.47,0.24,774.52,33.16,0.3,0.43
Bamia,0.47,43.6,76.53,3.6,2.7,1.25,7.33,9,238.08,220.64,109.91,140.34,91.74,3.53,3.06,0.35,435.27,10.86,0.24,0.41
Molokhia with Chicken,14.46,69.52,367.8,17.42,13.55,2.18,6.22,46.46,293.27,190.08,118.3,284.62,11.29,3.62,4.77,0.47,78.26,55.04,0.27,0.49
Kofta,0.93,62.35,373.83,28.76,25.88,1.73,4.2,7.19,75.34,593.65,87.26,94.49,99.24,1.12,0.63,0.36,730.47,4.77,0.36,0.19
Kaak,12.06,58.33,1630.44,23.29,85.4,1.01,3.85,116.46,317.7,122.3,59.35,207.13,91.29,3.54,2.91,0.43,96.24,5.45,0.15,0.02
Butter,0.62,61.61,2459.63,3.09,277.87,1.5,0.38,0.34,72.84,392.34,48.6,265.36,96.23,5.85,4.82,0.48,733.1,52.48,0.23,0.44
Chickpeas Cooked,0.82,46.85,156.04,8.56,2.47,0.8,4.48,25.69,428.41,301.57,21.35,285.46,90.63,2.9,0.41,0.1,274.22,46.84,0.32,0.34
Raw White Rice,5.96,74.2,888.82,17.53,1.48,1.51,1.23,195.05,251.73,113.5,62.3,209.98,78.42,0.87,3.87,0.29,596.88,38.23,0.3,0.2
Vegetable Oil,0.48,51.35,2840.62,0,321.34,1.37,7.27,0,16.92,500.26,105.91,161.36,112.36,2.38,1.79,0.09,191.5,22.3,0.39,0.48
Chicken Liver,3.9,52.29,229.64,33.4,6.96,2.27,4.14,1.39,549.84,355.77,148.53,83.57,16.36,3.09,4.58,0.42,458.78,27.98,0.03,0.02
Imam Bayildi,13.88,63.33,555.82,9.81,29.43,0.55,0.61,65.39,33.38,412.51,129.52,176.36,114.4,5.36,4.24,0.18,635.95,29.85,0.25,0.17
Baladi Bread,12.57,45.38,403.77,13.46,2.27,2.28,1.89,80.15,506.04,518.51,41.69,197.59,79.51,1.94,1.58,0.34,53.84,35.05,0.39,0.47
Grilled Fish,3.74,62.78,623.38,102.41,22.26,1.14,7.97,0,337.81,320.77,141.14,297.13,82.66,3.6,3.24,0.02,296.93,23.01,0.06,0.38
Lamb,2.78,71.51,167.38,14.23,11.96,0.96,7.66,0,315.51,108.57,153.11,131.01,26.61,2.72,2.85,0.35,685.15,11.95,0.24,0.04
Lamb,12.48,58.72,721.63,61.36,51.55,0.7,5.77,0,291.13,534.63,199.94,236.25,19.51,3.26,3.35,0.04,144.31,36.35,0.18,0.29
Apple,11.13,57.8,50.26,0.29,0.19,0.86,6.07,13.53,484.61,337.86,176.49,103.34,26.82,2.11,1.88,0.37,11.71,45.27,0.19,0.18
Banana,6.67,78.58,129.56,1.6,0.44,1.31,2,33.48,546.84,334.4,197.34,176.2,49.68,5.13,2.88,0.18,20.33,13.82,0.46,0.37
Apple,12.84,47.26,162.39,0.94,0.62,1.66,3.53,43.72,511.51,252.64,77.49,217.52,74.52,4.48,2.43,0.3,105.66,44.71,0.27,0.3
Grilled Fish,9.57,48.57,197.73,32.48,7.06,1,5.12,0,594.39,436.6,87.34,52.28,96.33,5.24,2.95,0.31,738.19,34.98,0.05,0.47
Mahshi Vine Leaves,11.21,62.78,219.93,3.67,7.33,1.79,3.85,32.99,317.5,299.7,131.21,282.24,30.74,4.55,4.13,0.44,494.32,5.35,0.08,0.14
Bamia,1.24,40.42,308.34,14.51,10.88,0.68,0.85,36.28,446.55,300.34,23.05,152.97,101.14,0.34,0.83,0.34,142.95,32.57,0.1,0.4
Moussaka Egyptian,4.61,62.64,101.03,4.66,4.66,1.04,2.9,9.33,177.12,264.91,198.57,261.8,31.83,3.35,0.8,0.08,65.6,50.01,0.39,0.02
Rice Pudding,1.49,44.08,221.75,5.54,5.54,2.23,6.47,40.65,439.79,184.74,80.18,279.97,114.44,5.73,3.16,0.03,57.4,38.62,0.45,0.27
Butter,3.55,72.53,990.53,1.24,111.9,1.07,3.05,0.14,334.74,270.18,114.46,187.16,23.09,1.09,2.61,0.27,763.37,42.58,0.16,0.22
Kashkaval Cheese,11.8,69.78,1380.11,98.58,110.41,1.41,7.82,7.89,299.53,256.57,158.74,87.16,14.3,4.94,3.77,0.3,522.67,44.45,0.28,0.34
Sobia,5.05,71.77,307.92,4.4,11,1.48,5.96,43.99,588.96,156.73,10.89,223.47,78.39,2.14,2.12,0.36,274.22,39.84,0.13,0.13
Koshari,8.49,54.36,435.24,12.6,9.16,2.44,7.81,73.3,219.81,497.23,153.9,225.01,49.66,1.89,3.54,0.14,654.98,30.24,0.13,0.48
Vegetable Oil,11.2,48.48,2599.03,0,294.01,0.57,5.44,0,443.36,113.7,15.85,252.91,84.35,1.32,0.86,0.1,328.38,31.62,0.31,0.05
Sahlab,9.94,49.95,704.02,14.08,23.47,0.55,5.66,117.34,330.25,500.7,82.05,218.78,56.75,4.41,2.5,0.17,592.68,52.79,0.06,0.49
Vegetable Oil,4.53,52.53,929.92,0,105.19,1.46,0.87,0,579.49,596.97,191.55,125,83.71,5.16,3.74,0.05,476.77,17.58,0.18,0.38
Taameya Baked,12.32,58.18,995.63,53.93,41.48,1.77,1.88,82.97,143.93,554.69,41.37,74.37,18.32,4.84,1.53,0.13,645.72,34.47,0.26,0.33
Hawawshi,12.25,58.89,1089.82,45.7,42.19,1.13,3.62,119.53,589.86,113.68,34.25,155.14,109.34,1.96,2.08,0.43,89.42,28.46,0.03,0.5
Bamia,1.07,69.04,408.77,19.24,14.43,1.61,5.7,48.09,36.13,316.92,84.04,190.69,25.45,1.82,0.95,0.2,735.28,2.19,0.2,0.26
Milk Full Fat,4.67,56.94,263.45,12.97,14.19,1.47,7.24,19.45,162.16,595.97,62.44,180.46,54.5,1.17,1.97,0.27,551.63,29.66,0.16,0.06
Baladi Bread,7.18,70.54,1253.52,41.78,7.04,1.84,3.25,248.83,239.25,367.85,93.16,57.07,75.53,3.98,2.74,0.48,113.15,8.96,0.35,0.12
Orange,11.44,73.7,117.76,2.25,0.25,1.35,3.08,30.07,117.21,580.51,100.59,214.91,101.64,0.71,1.77,0.38,525.29,8.42,0.23,0.28
Molokhia with Chicken,13.9,41.76,49.95,2.37,1.84,2.43,6.66,6.31,100.53,490.17,189.56,110.11,92.23,0.61,4.7,0.05,303.05,23.73,0.41,0.02
Hawawshi,9.18,46.62,1382.46,57.97,53.51,0.77,1.18,151.62,244.11,500.94,104.63,170.81,83.76,2.93,4.12,0.05,334.86,13.19,0.04,0.19
Pasta Cooked,14.6,70.87,809.22,29.71,4.61,2.11,2.85,158.26,141.68,193.02,150.56,109.22,45.97,3.52,1.01,0.18,519.95,34.31,0.38,0.08
Black Eyed Peas,13.55,74.17,103.12,5.55,1.19,2.24,1.76,17.45,548.07,500.82,65.7,251.15,17.91,4.79,3.9,0.12,429.2,18.32,0.05,0.33
Beef Lean,1.54,79.12,1090.68,113.43,74.17,2.46,6.92,0,407.74,589,135.22,99.75,114.42,4.78,3.14,0.12,261.47,37.61,0.36,0.14
Molokhia,7.49,58.26,278.12,17.7,10.11,0.59,5.57,30.34,222.26,160.61,131.46,238.36,64.73,2.95,3.02,0.34,121.01,8.93,0.29,0.33
Dates,1.31,63.74,1001.86,8.88,1.42,1.91,3.97,266.45,73.31,138.12,16.97,139.89,14.91,2.2,2.98,0.29,163.37,25.36,0.32,0.23
Shorbet Adas,9.77,65.25,108.4,5.42,2.71,1.52,2.19,16.26,101.4,492.86,80.99,99.97,96.47,2.55,4.45,0.27,787.67,32.56,0.17,0.38
Butter,8.07,61.1,3113.94,3.91,351.78,0.6,2.19,0.43,380.27,546.92,181.05,194.35,88.22,4.22,4.14,0.1,69.9,15.18,0.08,0.07
Mahshi Vine Leaves,12.75,62.42,163.86,2.73,5.46,1.84,3.37,24.58,39.09,505.1,109.3,77.44,11.22,3.25,1.94,0.3,432.72,59.28,0.03,0.03
Karkade,0.41,56.23,94,0.31,0,1.14,7.51,21.93,105.84,196.06,117.74,297.51,93.55,4.03,4.65,0.22,331.42,12.91,0.14,0.08
Koshari,7.47,46.72,584.06,16.91,12.3,1.01,2.58,98.37,333.58,383.19,101.88,260.67,112.56,1.77,0.22,0.09,152.95,18.01,0.48,0.49
Om Ali,8.82,65.51,561.03,15.3,20.4,0.85,2.36,76.5,245.55,465.35,33.93,93.69,17.19,2.58,3.3,0.26,142.06,25.23,0.21,0.42
Grilled Chicken Breast,8.98,76.32,712.32,133.83,15.54,0.76,3.24,0,346.19,344.92,198.3,54.43,17.73,4.17,4.63,0.23,366.01,39.57,0.04,0.35
Tea with Sugar,12.58,60.53,15.47,0,0,1.21,1.94,3.87,152.39,115.6,142.22,76.2,77.85,2.37,1.49,0.29,82.86,11.44,0.07,0.12
Banana,7.39,72.94,327.68,4.05,1.1,2.01,1.33,84.68,415.84,360.59,171.28,174.11,90.16,2.21,1.76,0.05,778.46,30.06,0.35,0.44
Olive Oil,4.1,73.95,1813.2,0,205.11,1.37,2.61,0,257.94,328.48,49.5,219.19,77.82,2.53,2.74,0.49,253.81,57.95,0.43,0.44
Labneh,13.44,41.22,315.71,26.31,21.05,0.54,3.6,7.89,250.75,547.62,174.17,192.4,43.48,1.25,4.24,0.24,398.24,42.51,0.27,0.02
Ghee,1.46,63.81,2307.21,0,256.36,2.09,7.01,0,360.82,264.6,156.18,109.45,102.61,1.22,4.92,0.23,771.72,3.69,0.48,0.32
Bamia,5.27,53.08,133.45,6.28,4.71,1.08,1.14,15.7,561.09,210.28,162.68,125.75,87.26,5.73,1.64,0.07,22.86,43.52,0.18,0.5
Koshari,12.86,65.82,943.59,27.31,19.86,1.29,6.3,158.92,529.26,540.9,18.6,76.84,66.5,1.11,3.22,0.11,77.43,48.82,0.34,0.04
Ghee,10,52.3,1713.34,0,190.37,0.61,0.86,0,528.95,514.87,186.9,63.41,44.99,2.91,4.25,0.18,537.42,4.16,0.24,0.46
Mahshi Kousa,0.54,76.52,467.91,12.76,12.76,1.22,3.89,76.57,133.22,585.37,137.3,123.47,29.93,3.19,0.6,0.04,708.48,0.81,0.21,0.24
Mahshi Pepper,6.11,69.62,356.95,9.74,9.74,1.64,2.96,64.9,369.37,484.35,57.19,153.7,37.28,1.76,2.17,0.38,396.17,52.52,0.13,0.41
Green Lentils Cooked,12.94,54.36,534.73,41.49,1.84,0.59,4.39,92.19,490.14,368.4,21.35,194.41,119.05,3.95,4.46,0.29,126.27,25.76,0.21,0.4
Qatayef Asafiri,5.82,70.89,1151.46,19.19,46.06,2.41,3.28,153.53,415.09,564.9,117.73,234.64,31.29,3.2,4.33,0.4,354.5,59.23,0.47,0.09
Ful Medames,5.61,48.21,122.81,8.19,3.64,2.33,4.46,18.19,287.29,464.1,19.1,145.36,72.72,3.38,1.96,0.08,184.8,21.09,0.22,0.03
Qatayef Asafiri,4.06,78.06,901.8,15.03,36.07,1.68,6.67,120.24,404.98,126.15,144.55,282.02,97.98,0.85,3.09,0.23,720.65,58.59,0.41,0.19
Orange,10.42,62.08,55.38,1.06,0.12,1.94,3.86,14.14,46.32,403.75,175.01,142.88,34.64,0.28,4.01,0.3,420.46,20.07,0.06,0.18
Beef Liver,12.86,62.1,749.38,122.63,18.17,0.67,4.25,18.17,243.27,586.29,162.71,58.33,44.64,3.41,0.52,0.42,375.42,23.21,0.2,0.04
Mango,9.5,57.88,197.46,2.63,1.32,2.23,0.38,49.36,591.86,421.57,39.86,276.63,82.15,0.6,0.93,0.43,129.03,9.82,0.15,0.36
Taameya Baked,10.78,58.8,641.42,34.74,26.73,1.31,0.63,53.45,276.28,323.73,103.11,281.21,86.43,2.69,2.57,0.41,540.87,25.71,0.26,0.22
Taameya Fried,8.94,40.34,1323.01,53.75,74.42,1.19,0.89,107.49,462.31,160.82,30.48,201.84,33.65,3.5,1.38,0.11,287.52,44.63,0.03,0.02
Koshari,7.73,65.45,839.09,24.29,17.67,1.19,0.45,141.32,495.37,278.08,90.97,67.92,48.91,5.1,2.12,0.04,95.49,30.71,0.49,0.07
Kebab,3.31,41.47,143.38,13.76,9.18,1.76,1.11,0.57,573.91,131.92,93.56,121.24,98.92,2.03,3.31,0.15,393.37,22.3,0.12,0.16
Atayef,11.98,77.76,238.12,4.46,8.93,1.98,0.77,29.76,78.79,341.11,109.99,178.52,28.4,1.95,3.01,0.06,433.97,56.49,0.45,0.47
Milk Full Fat,4.37,75.44,56.95,2.8,3.07,0.76,0.85,4.21,433.32,300.15,160.82,161,113.45,3.91,0.57,0.08,446.76,51.35,0.23,0.48
Boiled Egg,4.21,65.31,396.37,33.24,28.13,1.92,5.33,2.81,177.99,108.15,187.88,295.05,116.38,2.09,3.65,0.15,86.92,31.4,0.42,0.14
Grilled Fish,12.33,44.17,295.69,48.58,10.56,2.31,6.69,0,554.83,486.82,37.85,196.91,103.56,5.24,2.08,0.47,579.21,24.57,0.36,0.07
Butter,0.68,74.09,3595.31,4.51,406.16,0.71,6.81,0.5,412.31,247.03,62.34,80.25,19.59,0.65,0.82,0.28,112.95,21.54,0.14,0.36
White Cheese,14.78,74.35,592.72,21.73,49.39,0.94,7,5.93,186.16,304.18,158.91,67.72,108,3.27,2.48,0.33,355.34,4.05,0.04,0.31
Tamarind Drink,0.94,47.3,246.27,2.96,0.99,1.72,4.16,64.03,389.85,573.22,136.59,64.04,58.4,1.94,4.59,0.48,775.45,8.22,0.15,0.31
Molokhia,3.62,64.2,265.99,16.93,9.67,0.65,3.93,29.02,179.63,376.19,39.39,137.05,32,4.13,4.07,0.17,7.96,49.47,0.5,0.28
Butter,11.14,66.88,926.28,1.16,104.64,0.89,3.37,0.13,485.85,566.64,120.61,209.36,113.67,2.26,1.26,0.27,525.38,31.12,0.26,0.07
Sobia,12.18,75.99,451.38,6.45,16.12,2.46,1.37,64.48,167.01,474.06,176.5,168.41,70.43,5.96,1.03,0.15,281.08,16.4,0.1,0.26
Green Lentils Cooked,8.77,73.26,310.96,24.13,1.07,1.01,7.19,53.61,505.28,446.74,114.54,76.57,67.16,4.03,0.8,0.05,627.89,7.66,0.14,0.16
Roasted Chicken,10.73,60.43,772.06,91.91,40.44,1.01,1.28,0,483.23,371.89,169.86,287.21,24.97,2.96,3.04,0.11,257.01,48.73,0.15,0.18
Roasted Chicken,11.41,56.56,577.62,68.76,30.26,0.61,5.27,0,165.4,188,131.92,176.55,109.5,3.64,3.78,0.4,259.53,43.83,0.12,0.14
Karkade,8.71,71.87,55.33,0.18,0,1.36,5.44,12.91,40.61,263.95,159.85,277.83,30.95,2.62,1.07,0.02,675.57,36.63,0.46,0.31
Mahshi Pepper,3.27,46.62,404.98,11.04,11.04,1.95,3.04,73.63,87.82,101.18,177.95,102.66,45.42,2.8,4.44,0.41,147.92,51.02,0.43,0.24
Orange,2.26,51.42,229.36,4.39,0.49,0.93,3.04,58.56,471.47,137.69,174.58,252.14,76.71,5.16,3.76,0.24,259.84,42.45,0.49,0.38
White Cheese,5.31,64.61,172.35,6.32,14.36,0.77,7.15,1.72,231.37,239,119.16,108.19,65.09,2.19,2.44,0.18,386.95,15.1,0.04,0.09
Vegetable Oil,1.06,48.77,898.07,0,101.59,1.9,7.72,0,487.83,448.07,13.45,227.45,75.96,5.28,3.35,0.12,290.31,52.87,0.44,0.27
Sobia,12.46,55.79,673.29,9.62,24.05,0.73,2.74,96.18,516.27,417.04,73.65,103.18,70.95,4.56,1.71,0.21,11.35,36.51,0.35,0.31
Banana,0.62,49.79,134.77,1.67,0.45,0.98,6.82,34.83,97.14,461.51,195.75,247.93,89.45,4.04,1.46,0.4,159.04,44.55,0.39,0.08
Imam Bayildi,2.47,70.33,345.72,6.1,18.3,0.68,2.26,40.67,43.79,337.92,151.21,235.97,108.49,4.26,2.92,0.48,290.11,28.52,0.03,0.32
Yogurt,9.54,60.84,261.8,15.27,13.09,0.6,2.27,21.82,169.61,334.15,143.93,187.97,39.72,4.56,1.63,0.12,65.83,35.21,0.31,0.26
Ghee,0.96,53.82,976.66,0,108.52,1.33,2.94,0,530.15,569.81,169.66,228.88,22.1,1.7,3.87,0.32,770.99,5.27,0.18,0.06
Ghee,13.88,58.73,2938.99,0,326.55,2.08,0.33,0,424.06,381.55,43.81,195,86.95,2.72,2.72,0.07,100.78,36.54,0.2,0.4
Roasted Chicken,7.13,57.66,205.79,24.5,10.78,1.76,1.28,0,14.41,351.78,98,119.25,56.94,4.9,1.89,0.19,64.82,4.22,0.45,0.07
Labneh,12.07,57.31,507.46,42.29,33.83,1.12,1.6,12.69,544.96,262.15,107,106.39,111.27,0.22,4.64,0.12,386.01,44.07,0.02,0.43
Milk Full Fat,11.59,78.9,149.68,7.37,8.06,0.74,7.63,11.05,247.06,270.48,171.25,260.51,20.87,5.22,1.98,0.24,243.03,20.46,0.2,0.18
White Cheese,0.85,63.09,1065,39.05,88.75,1.43,4.17,10.65,361.24,348.16,44.28,133.33,15.62,2.74,1.72,0.3,111.36,5.14,0.16,0.39
Cooked White Rice,6.28,43.51,76.55,1.41,0.18,1.36,3.75,16.49,448.96,507.46,115.55,123.86,53.8,5.15,2.05,0.41,120.27,7.32,0.2,0.33
White Bread,12.36,46.59,1306.68,44.38,15.78,2.33,6.84,241.61,367.17,327.57,127.02,247.49,73.58,2.16,1.33,0.14,314.88,24.79,0.23,0.05
Tea with Sugar,8.98,52.86,83.48,0,0,2.23,0.63,20.87,526.34,357.35,22.65,249.35,110.93,1.75,0.59,0.49,631.33,34.14,0.03,0.11
Bamia,8.43,60.28,144.78,6.81,5.11,1.32,6.13,17.03,543.56,472.53,151.97,268.04,76.11,0.3,3.25,0.44,235.92,5.97,0.22,0.26
Olive Oil,12.73,54.92,2198.2,0,248.67,1.84,6.9,0,255.26,185.17,87.48,63.3,119.74,2.18,0.71,0.06,126.46,26.56,0.21,0.02
Karkade,12.59,72.26,117.76,0.39,0,0.66,4.16,27.48,356.31,516.11,195.73,112.06,38.59,2.55,3.49,0.19,595.33,55.07,0.18,0.44
Kebab,1.09,76.87,777.78,74.67,49.78,1.56,4.34,3.11,232.68,561.07,104.37,211.09,72.18,0.41,1.85,0.09,154.73,15.76,0.07,0.39
Basbousa,7.96,57.82,665.83,9,21.59,0.67,3.84,98.98,246.15,241.51,96.07,109.08,65.33,1.67,1.34,0.42,700.74,25.83,0.22,0.42
Omelette,1.92,78.14,792.2,57.21,57.21,1.87,0.17,8.8,20.01,599.06,176.31,179.41,94.86,0.51,2.3,0.03,416.05,10.26,0.43,0.03
Ful Medames,1.15,77.1,624.36,41.62,18.5,0.88,7.18,92.5,563.77,195.48,45.5,81.3,70.5,3.14,3.39,0.08,205.71,41.88,0.22,0.15
